"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
18615436,"2018-06-19 00:00:00","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","5300 YVONNE AVE, SAN GABRIEL, CA 91776","5300 YVONNE AVE","SAN GABRIEL","91776","918-07615-0586","0586","07615","CA0190005","TEMPLE","N"
18614705,"2018-06-19 00:00:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","1400 1/2 HARPER AVE, WEST HOLLYWOOD, CA 90046","1400 1/2 HARPER AVE","WEST HOLLYWOOD","90046","918-04027-0975","0975","04027","CA0190009","WEST HOLLYWOOD","N"
18614547,"2018-06-19 00:07:30","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","200 LAKEWOOD CENTER MALL, LAKEWOOD, CA 90712","200 LAKEWOOD CENTER MALL","LAKEWOOD","90712","918-13585-1329","1329","13585","CA0190013","LAKEWOOD","N"
18614516,"2018-06-19 00:25:30","LARCENY THEFT","383","THEFT, PETTY: Shoplifting (From Dept Store, Mkt, Etc)","2000 N LONG BEACH BLVD, COMPTON, CA","2000 N LONG BEACH BLVD","COMPTON",,"918-08601-2825","2825","08601","CA0190042","COMPTON","N"
18614739,"2018-06-19 00:30:00","LARCENY THEFT","385","THEFT, PETTY: Auto Parts And Accessories","1200 N EASTERN AVE, LOS ANGELES, CA","1200 N EASTERN AVE","LOS ANGELES",,"918-09214-0273","0273","09214","CA0190002","EAST LOS ANGELES","N"
18615387,"2018-06-19 00:30:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","5300 W 120TH ST, INGLEWOOD, CA 90304","5300 W 120TH ST","INGLEWOOD","90304","918-04772-0384","0384","04772","CA0190003","SOUTH LOS ANGELES","N"
18614954,"2018-06-19 00:37:30","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","15TH ST W AND AVENUE K, LANCASTER, CA","15TH ST W AND AVENUE K","LANCASTER",,"918-12145-1126","1126","12145","CA0190024","LANCASTER","N"
18615444,"2018-06-19 01:00:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","1900 N CENTRAL AVE, COMPTON, CA 90220","1900 N CENTRAL AVE","COMPTON","90220","918-08654-2812","2812","08654","CA0190042","COMPTON","N"
18614610,"2018-06-19 01:00:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","2400 LANDSFORD ST, LANCASTER, CA","2400 LANDSFORD ST","LANCASTER",,"918-12117-1135","1135","12117","CA0190024","LANCASTER","N"
18616404,"2018-06-19 01:00:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","14100 ADOREE ST, LA MIRADA, CA","14100 ADOREE ST","LA MIRADA",,"918-09430-0469","0469","09430","CA0190004","NORWALK","N"
18615344,"2018-06-19 01:07:30","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","13000 CLEARWOOD AVE, LA MIRADA, CA","13000 CLEARWOOD AVE","LA MIRADA",,"918-09387-0469","0469","09387","CA0190004","NORWALK","N"
18614715,"2018-06-19 01:15:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","24100 TANGO DR, VALENCIA, CA","24100 TANGO DR","VALENCIA",,"918-08510-0673","0673","08510","CA0190006","SANTA CLARITA VALLEY","N"
18616008,"2018-06-19 01:30:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","29300 N LAS BRISAS RD, VALENCIA, CA","29300 N LAS BRISAS RD","VALENCIA",,"918-08572-0673","0673","08572","CA0190006","SANTA CLARITA VALLEY","N"
18614760,"2018-06-19 01:45:00","LARCENY THEFT","084","GRAND THEFT: From Unlocked Auto","900 MILLIARD CANYON RD, ALTADENA, CA","900 MILLIARD CANYON RD","ALTADENA",,"918-01749-0771","0771","01749","CA0190007","ALTADENA","N"
18614704,"2018-06-19 02:00:00","LARCENY THEFT","389","THEFT, PETTY: Other (From Prvt Res, Boat, Plane,Yard)","700 W LANCASTER BLVD, LANCASTER, CA","700 W LANCASTER BLVD","LANCASTER",,"918-12126-1122","1122","12126","CA0190024","LANCASTER","N"
18615314,"2018-06-19 02:07:30","LARCENY THEFT","085","GRAND THEFT: Auto Parts And Accessories","400 S TOPANGA CANYON BLVD, TOPANGA, CA","400 S TOPANGA CANYON BLVD","TOPANGA",,"918-03663-1034","1034","03663","CA0190022","MALIBU/LOST HILLS","N"
18615229,"2018-06-19 02:15:00","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","900 LA VINA LN, ALTADENA, CA","900 LA VINA LN","ALTADENA",,"918-01751-0771","0771","01751","CA0190007","ALTADENA","N"
18614732,"2018-06-19 02:15:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","200 7TH AVE, BASSETT, CA","200 7TH AVE","BASSETT",,"918-08042-1463","1463","08042","CA0190014","INDUSTRY","N"
18614636,"2018-06-19 02:30:00","LARCENY THEFT","342","VEHICLE BURGLARY: Truck/Cargo Van Burglary","11500 LONG BEACH BLVD, LYNWOOD, CA 90262","11500 LONG BEACH BLVD","LYNWOOD","90262","918-08939-2111","2111","08939","CA01900V3","CENTURY","N"
18614651,"2018-06-19 02:30:00","LARCENY THEFT","340","VEHICLE BURGLARY: Auto/Passenger Van Burglary","10100 VICTORIA AVE, WHITTIER, CA 90604","10100 VICTORIA AVE","WHITTIER","90604","918-09351-0492","0492","09351","CA0190004","NORWALK","N"
18615910,"2018-06-19 02:37:30","LARCENY THEFT","384","THEFT, PETTY: From Auto (Except Parts/Accessories)","24200 JOSHUA DR, VALENCIA, CA","24200 JOSHUA DR","VALENCIA",,"918-08563-0673","0673","08563","CA0190006","SANTA CLARITA VALLEY","N"
