,RegionName,State,CountyName,2018-05,Unnamed: 0_x,Price level_x,Rating_x,Latitude_x,Longitude_x,House Price Ranking,Unnamed: 0_y,Price level_y,Rating_y,Latitude_y,Longitude_y
125,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,39.0,2.0,4.4,34.100516999999996,-118.32927
126,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,45.0,,4.7,33.9888277,-118.3340017
127,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,49.0,2.0,4.6,34.0427223,-118.2529723
128,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,50.0,2.0,4.6,34.047626,-118.32761399999998
129,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,51.0,,4.0,34.0516025,-118.2550754
130,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,54.0,2.0,4.5,34.077119200000006,-118.2587199
131,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,56.0,2.0,4.5,34.0828183,-118.32415859999999
132,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,57.0,2.0,4.3,34.083804,-118.273852
133,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,59.0,2.0,4.4,34.100516999999996,-118.32927
134,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,68.0,,4.0,34.0516025,-118.2550754
135,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,70.0,,4.7,33.9888277,-118.3340017
136,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,71.0,2.0,4.5,34.077119200000006,-118.2587199
137,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,72.0,2.0,4.6,34.118765,-118.179128
138,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,74.0,2.0,4.3,34.083804,-118.273852
139,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,78.0,2.0,4.5,34.0828183,-118.32415859999999
140,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,85.0,,4.7,33.9888277,-118.3340017
141,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,89.0,2.0,4.6,34.0427223,-118.2529723
142,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,90.0,2.0,4.6,34.047626,-118.32761399999998
143,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,91.0,,4.0,34.0516025,-118.2550754
144,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,94.0,2.0,4.5,34.077119200000006,-118.2587199
145,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,96.0,2.0,4.5,34.0828183,-118.32415859999999
146,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,97.0,2.0,4.3,34.083804,-118.273852
147,Los Angeles,CA,Los Angeles,714700,15.0,2.0,4.5,34.077119200000006,-118.2587199,Mid,99.0,2.0,4.4,34.100516999999996,-118.32927
148,Los Angeles,CA,Los Angeles,714700,16.0,2.0,4.5,34.0828183,-118.32415859999999,Mid,7.0,,4.7,33.9888277,-118.3340017
149,Los Angeles,CA,Los Angeles,714700,16.0,2.0,4.5,34.0828183,-118.32415859999999,Mid,11.0,2.0,4.6,34.047626,-118.32761399999998
150,Los Angeles,CA,Los Angeles,714700,16.0,2.0,4.5,34.0828183,-118.32415859999999,Mid,12.0,,4.0,34.0516025,-118.2550754
